index,latitude,longitude,station,project,include
564,42.18689,-122.606,orl03,USArray,True
565,42.08859,-121.88294,orl04,USArray,True
566,42.0037,-121.001,orl05,USArray,True
567,42.0785,-120.136,orl06,USArray,True
568,42.01184,-119.32979,orl07,USArray,True
569,42.19436,-118.33896,orl08,USArray,True
572,40.81386,-115.94728,ren11,USArray,True
573,40.77853,-113.1452,ren14,USArray,True
574,40.21603,-117.34035,reo09,USArray,True
576,39.61244,-107.60913,rep21,USArray,True
577,38.82372,-119.10772,req07,USArray,True
578,38.8636,-111.751,req16,USArray,True
579,38.94238,-97.84626,req33,USArray,True
582,41.39393,-112.42972,utm15,USArray,True
583,41.45859,-111.60682,utm16,USArray,True
584,40.81731,-114.02558,utn13,USArray,True
585,40.59686,-112.54998,utn15,USArray,True
586,40.76886,-111.51061,utn16,USArray,True
587,40.93784,-110.71538,utn17,USArray,True
588,40.97069,-109.86508,utn18,USArray,True
589,40.90057,-109.10331,utn19,USArray,True
590,40.17164,-114.00997,uto13,USArray,True
591,40.03395,-113.22668,uto14,USArray,True
592,40.12586,-112.53303,uto15,USArray,True
593,40.26206,-111.59101,uto16,USArray,True
594,40.36179,-110.80265,uto17,USArray,True
595,40.22045,-109.93056,uto18,USArray,True
599,39.52876,-112.38818,utp15,USArray,True
601,39.56163,-110.94361,utp17,USArray,True
602,39.72384,-110.13939,utp18,USArray,True
604,38.85333,-114.03588,utq13,USArray,True
605,38.85515,-113.25198,utq14,USArray,True
606,38.94308,-112.5582,utq15,USArray,True
609,38.93202,-109.25913,utq19,USArray,True
631,41.48759,-110.70186,wym17,USArray,True
640,40.40436,-98.75038,kan01,USGS-CGGSC,True
641,39.64744,-98.71066,kan02,USGS-CGGSC,True
642,38.97014,-98.68786,kan03,USGS-CGGSC,True
643,38.21422,-98.96848,kan04,USGS-CGGSC,True
644,37.48369,-98.71628,kan05,USGS-CGGSC,True
669,38.35977,-107.51246,cor21,USMTArray,True
670,38.41916,-106.75078,cor22,USMTArray,True
671,38.48674,-105.11665,cor24,USMTArray,True
672,38.3546,-104.39432,cor25,USMTArray,True
673,38.40205,-103.57056,cor26,USMTArray,True
674,38.39879,-102.65923,cor27,USMTArray,True
675,37.71146,-108.47476,cos20,USMTArray,True
676,37.93834,-106.04696,cos23,USMTArray,True
677,37.75102,-105.39839,cos24,USMTArray,True
678,37.77998,-104.66556,cos25,USMTArray,True
679,37.73259,-103.62348,cos26,USMTArray,True
680,37.82859,-102.97502,cos27,USMTArray,True
681,37.28018,-108.58923,cot20,USMTArray,True
682,37.26461,-106.95613,cot22,USMTArray,True
683,37.23203,-106.15589,cot23,USMTArray,True
684,37.28152,-104.64877,cot25,USMTArray,True
685,37.08612,-103.70267,cot26,USMTArray,True
686,38.37416,-102.04338,ksr28,USMTArray,True
690,38.32663,-118.08238,nvr08,USMTArray,True
691,38.29934,-117.4399,nvr09,USMTArray,True
692,38.17045,-116.51414,nvr10,USMTArray,True
693,38.28104,-115.66839,nvr11,USMTArray,True
694,38.1628,-114.98076,nvr12,USMTArray,True
695,38.3208,-114.11538,nvr13,USMTArray,True
697,37.63315,-117.27477,nvs09,USMTArray,True
698,37.50908,-115.61772,nvs11,USMTArray,True
699,37.6432,-114.98132,nvs12,USMTArray,True
700,37.52074,-114.15807,nvs13,USMTArray,True
718,38.18221,-112.56934,utr15,USMTArray,True
720,37.5632,-113.30166,uts14,USMTArray,True
721,37.67052,-110.15907,uts18,USMTArray,True
722,37.7899,-109.29215,uts19,USMTArray,True
723,37.27046,-109.36413,utt19,USMTArray,True
