,project,station,latitude,longitude
151,USArray,utm16,41.45859,-111.60682
152,USArray,utn13,40.81731,-114.02558
153,USArray,utn15,40.59686,-112.54998
154,USArray,utn16,40.76886,-111.51061
155,USArray,utn17,40.93784,-110.71538
156,USArray,utn18,40.97069,-109.86508
157,USArray,utn19,40.90057,-109.10331
158,USArray,uto13,40.17164,-114.00997
159,USArray,uto14,40.03395,-113.22668
160,USArray,uto15,40.12586,-112.53303
161,USArray,uto16,40.26206,-111.59101
162,USArray,uto17,40.36179,-110.80265
163,USArray,uto18,40.22045,-109.93056
164,USArray,utp15,39.52876,-112.38818
165,USArray,utp17,39.56163,-110.94361
166,USArray,utp18,39.72384,-110.13939
167,USArray,utq13,38.85333,-114.03588
168,USArray,utq14,38.85515,-113.25198
169,USArray,utq15,38.94308,-112.5582
170,USArray,utq19,38.93202,-109.25913
171,USArray,wym17,41.48759,-110.70186
172,USGS-CGGSC,kan01,40.40436,-98.75038
173,USGS-CGGSC,kan02,39.64744,-98.71066
174,USGS-CGGSC,kan03,38.97014,-98.68786
175,USGS-CGGSC,kan04,38.21422,-98.96848
176,USGS-CGGSC,kan05,37.48369,-98.71628
177,USMTArray,cor21,38.35977,-107.51246
178,USMTArray,cor22,38.41916,-106.75078
179,USMTArray,cor24,38.48674,-105.11665
180,USMTArray,cor25,38.3546,-104.39432
181,USMTArray,cor26,38.40205,-103.57056
182,USMTArray,cor27,38.39879,-102.65923
183,USMTArray,cos20,37.71146,-108.47476
184,USMTArray,cos23,37.93834,-106.04696
185,USMTArray,cos24,37.75102,-105.39839
186,USMTArray,cos25,37.77998,-104.66556
187,USMTArray,cos26,37.73259,-103.62348
188,USMTArray,cos27,37.82859,-102.97502
189,USMTArray,cot20,37.28018,-108.58923
190,USMTArray,cot22,37.26461,-106.95613
191,USMTArray,cot23,37.23203,-106.15589
192,USMTArray,cot25,37.28152,-104.64877
193,USMTArray,cot26,37.08612,-103.70267
194,USMTArray,ksr28,38.37416,-102.04338
195,USMTArray,nvr08,38.32663,-118.08238
196,USMTArray,nvr09,38.29934,-117.4399
197,USMTArray,nvr10,38.17045,-116.51414
198,USMTArray,nvr11,38.28104,-115.66839
199,USMTArray,nvr12,38.1628,-114.98076
200,USMTArray,nvr13,38.3208,-114.11538
201,USMTArray,nvs09,37.63315,-117.27477
202,USMTArray,nvs11,37.50908,-115.61772
203,USMTArray,nvs12,37.6432,-114.98132
204,USMTArray,nvs13,37.52074,-114.15807
205,USMTArray,utr15,38.18221,-112.56934
206,USMTArray,uts14,37.5632,-113.30166
207,USMTArray,uts18,37.67052,-110.15907
208,USMTArray,uts19,37.7899,-109.29215
209,USMTArray,utt19,37.27046,-109.36413
