,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,latitude,longitude,elevation,easting,northing,utm zone,rotation angle,station id,survey,include,file
71,71,83,107,195,39.74263888888889,-120.60180555555556,1386.0,705486.6804949391,4401943.631938709,b'10S',0,cax206,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax206.2007-2010.edi
72,72,84,108,248,39.76260833333333,-119.74891666666667,1503.0,264526.15316693514,4405024.1115622725,b'11S',0,cax202,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.cax202.2007-2010.edi
73,73,85,109,1,39.89835083333333,-109.27462083333332,2040.0,647499.99509804,4417900.0206851065,b'12S',0,CGB038,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/CGB038.edi
74,74,86,110,12,39.90392472222222,-109.87459305555555,1770.0,596200.004281975,4417700.014356372,b'12S',0,CGB003,UU:Southern Utah,1,../../Desktop/MT Data/Database/CP Line/CGB003.edi
75,75,87,111,230,40.03395,-113.22668055555555,1315.0,310017.0305941927,4433900.621160024,b'12T',0,UTO14,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO14.2011.edi
76,76,88,112,207,40.03639722222222,-123.76599722222224,448.0,434649.09615629615,4432077.98657952,b'10T',0,CAP01,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAP01.2010.edi
77,77,89,113,108,40.08090000000001,-116.65,1767.0,529840.6399710891,4436795.074851656,b'11T',0,NVO10,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO10.2010.edi
78,78,90,114,74,40.104197222222226,-120.015,1211.0,754430.7937380697,4443593.7230184665,b'10T',0,CAO06,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO06.2010.edi
79,79,91,115,87,40.12586388888889,-112.53303055555556,1745.0,369378.8761789322,4442853.3731944775,b'12T',0,UTO15,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO15.2011.edi
80,80,92,116,19,40.1334,-119.036,1368.0,326540.06702290423,4444550.466721084,b'11T',0,NVO07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO07.2010.edi
81,81,93,117,107,40.135,-115.76700000000001,1725.0,605042.3393405863,4443469.684063088,b'11T',0,NVO11,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO11.2010.edi
82,82,94,118,142,40.171638888888886,-114.00996944444445,1567.0,754607.540254784,4451095.424190527,b'11T',0,UTO13,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO13.2011.edi
84,84,96,120,46,40.1825,-118.2239972222222,1373.0,395797.29864392226,4448731.467253521,b'11T',0,NVO08,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO08.2010.edi
85,85,97,121,17,40.183516666666655,-114.9781,1960.0,672131.9180549725,4450086.235800998,b'11T',0,NVO12,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO12.2011.edi
86,86,98,122,105,40.2152,-117.35519722222222,1870.0,469775.8328811044,4451703.248095534,b'11T',0,NVO09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVO09.2010.edi
87,87,99,123,112,40.217,-121.52299722222222,1590.0,625678.8600204183,4452888.625606959,b'10T',0,CAO04,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO04.2010.edi
88,88,100,124,215,40.22045,-109.93056111111113,1554.0,590993.6342738944,4452773.873848226,b'12T',0,UTO18,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO18.2011.edi
89,89,101,125,243,40.233955555555546,-109.21548055555556,1720.0,651809.0295049961,4455251.7901925035,b'12T',0,UTO19,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO19.2011.edi
90,90,102,126,164,40.247,-120.70399722222223,1732.0,695286.8671328471,4457701.154803985,b'10T',0,CAO05,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO05.2010.edi
91,91,103,127,28,40.25567777777777,-107.44230277777778,2093.0,292294.8920937486,4458997.148180226,b'13T',0,COO21,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COO21.2011.edi
92,92,104,128,188,40.26206388888889,-111.59100555555555,2215.0,449745.177870841,4457011.920243247,b'12T',0,UTO16,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO16.2011.edi
93,93,105,129,151,40.26929444444443,-108.33108055555556,1803.0,726934.3551418495,4461064.735527037,b'12T',0,COO20,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.COO20.2011.edi
94,94,106,130,209,40.293425,-122.515,233.0,541221.7894302952,4460438.181498326,b'10T',0,CAO03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO03.2010.edi
95,95,107,131,31,40.36179166666667,-110.80264722222222,2985.0,516756.73641536257,4467932.502536583,b'12T',0,UTO17,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTO17.2011.edi
96,96,108,132,186,40.38980555555555,-122.82035833333332,532.0,515246.6133488939,4471038.77116354,b'10T',0,caw214,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw214.2007-2010.edi
97,97,109,133,134,40.4668,-123.18,768.0,484740.385499806,4479585.104365726,b'10T',0,CAO02,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO02.2010.edi
98,98,110,134,131,40.50075,-122.46180555555556,191.0,545602.889304671,4483477.084846455,b'10T',0,caw213,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw213.2007-2010.edi
99,99,111,135,183,40.51925,-121.84455555555556,1136.0,597878.3211683446,4486032.73631876,b'10T',0,caw210,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw210.2007-2010.edi
100,100,112,136,247,40.52666666666666,-120.20971944444445,1378.0,736352.2974146366,4489956.033673916,b'10T',0,caw202,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw202.2007-2010.edi
101,101,113,137,75,40.533719444444436,-122.22408055555556,150.0,565714.0331163119,4487286.783503586,b'10T',0,caw212,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw212.2007-2010.edi
102,102,114,138,111,40.55094166666667,-122.08658055555556,193.0,577339.4906050869,4489310.080325288,b'10T',0,caw211,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw211.2007-2010.edi
103,103,115,139,57,40.56560833333333,-120.84674722222222,1577.0,682282.2496755894,4492765.33140872,b'10T',0,caw206,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw206.2007-2010.edi
104,104,116,140,249,40.5825,-120.63760833333336,1558.0,699937.9462789167,4495094.5604364835,b'10T',0,caw205,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw205.2007-2010.edi
105,105,117,141,41,40.59686111111111,-112.54997777777777,1635.0,368851.0051610124,4495160.900273353,b'12T',0,UTN15,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTN15.2011.edi
106,106,118,142,250,40.62266666666667,-120.49721944444444,1565.0,711693.8681279884,4499882.19061682,b'10T',0,caw204,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw204.2007-2010.edi
107,107,119,143,172,40.6278,-123.935,698.0,420923.8450008093,4497860.815786282,b'10T',0,CAO01,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAO01.2010.edi
108,108,120,144,110,40.65566666666667,-121.38774722222223,1601.0,636298.8732421378,4501783.49991988,b'10T',0,caw208,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw208.2007-2010.edi
109,109,121,145,197,40.65596944444445,-121.64291666666668,1945.0,614725.8084642193,4501452.835876443,b'10T',0,caw209,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw209.2007-2010.edi
110,110,122,146,85,40.65844166666667,-120.43605555555555,1595.0,716752.0107546104,4504002.960888959,b'10T',0,caw203,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw203.2007-2010.edi
111,111,123,147,148,40.66396944444444,-121.0855,1736.0,661831.9361605626,4503217.751460112,b'10T',0,caw207,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw207.2007-2010.edi
112,112,124,148,189,40.75583055555556,-120.03966666666666,1714.0,749901.6919594028,4515869.195386375,b'10T',0,caw201,Sierra Nevada,1,../../Desktop/MT Data/Database/Earthscope/EMSOC.caw201.2007-2010.edi
113,113,125,149,114,40.76213611111111,-120.794,3988.0,686200.2249820584,4514693.502393922,b'10T',0,CAN05,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN05.2010.edi
114,114,126,150,212,40.76886388888889,-111.51060555555556,2092.0,456907.5426576364,4513224.665920257,b'12T',0,UTN16,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.UTN16.2011.edi
115,115,128,152,82,40.78559722222222,-120.109,1676.0,743939.058082041,4518978.766648887,b'10T',0,CAN06,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN06.2010.edi
116,116,129,153,100,40.794691666666665,-117.4181777777778,1382.0,464721.6582993208,4516050.410090958,b'11T',0,NVN09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN09.2011.edi
117,117,130,154,135,40.795,-117.41799999999999,1382.0,464736.81918537704,4516084.56542633,b'11T',0,NVN09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN09.2010.edi
118,118,131,155,226,40.8096,-119.318,1204.0,304484.856518704,4520206.716661328,b'11T',0,NVN07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN07.2010.edi
119,119,132,156,113,40.809625,-119.31813333333334,1069.0,304473.68284530705,4520209.789691654,b'11T',0,NVN07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN07.2011.edi
120,120,133,157,18,40.81394722222222,-115.94860277777778,1859.0,588673.0297069885,4518635.571732762,b'11T',0,NVN11,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN11.2011.edi
121,121,135,159,130,40.8194,-121.572,1346.0,620426.0388915042,4519690.151065515,b'10T',0,CAN04,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN04.2010.edi
122,122,136,160,163,40.8276,-116.5779972222222,1430.0,535583.4423745371,4519704.987704031,b'11T',0,NVN10,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN10.2010.edi
123,123,137,161,240,40.8351,-114.8519972222222,1709.0,681106.032978412,4522672.233012038,b'11T',0,NVN12,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN12.2010.edi
124,124,138,162,153,40.8433,-118.284,1303.0,391756.96162665647,4522155.388719336,b'11T',0,NVN08,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVN08.2010.edi
125,125,139,163,159,40.8663,-123.449,317.0,462162.15349620883,4524012.27239832,b'10T',0,CAN02,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN02.2010.edi
126,126,140,164,83,40.89957222222222,-122.50616666666667,1094.0,541595.1896350422,4527726.089324366,b'10T',0,CAN03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN03.2011.edi
127,127,143,167,116,41.0269,-121.971,883.0,586505.9344481514,4542253.154777742,b'10T',0,CAN03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN03.2010.edi
128,128,144,168,187,41.1683,-124.09100000000001,172.0,408478.2715889928,4558013.860547024,b'10T',0,CAN01,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAN01.2010.edi
130,130,147,171,16,41.38849166666667,-119.17124444444444,1395.0,318465.86828197463,4584159.527810102,b'11T',0,NVM07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM07.2011.edi
131,131,148,172,192,41.3885,-119.171,1391.0,318486.3303118177,4584159.940724508,b'11T',0,NVM07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM07.2010.edi
132,132,150,174,136,41.41150555555557,-120.868,1347.0,678189.8683626007,4586633.180952242,b'10T',0,CAM05,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM05.2010.edi
133,133,151,175,56,41.4153,-121.83299722222222,1516.0,597528.943047735,4585518.05577448,b'10T',0,CAM04,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM04.2010.edi
134,134,154,178,132,41.461286111111114,-121.692,1495.0,609235.4820245418,4590791.895549128,b'10T',0,CAM94,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM94.2010.edi
136,136,156,180,86,41.4646,-115.78299722222219,1903.0,601630.6741097864,4591048.9154069135,b'11T',0,NVM11,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM11.2010.edi
137,137,157,181,35,41.4667,-116.59200000000001,1727.0,534070.2844193185,4590647.622929398,b'11T',0,NVM10,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM10.2010.edi
138,138,159,183,69,41.491172222222225,-122.62802777777777,1631.0,531050.0748538321,4593350.945416332,b'10T',0,CAM03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM03.2010.edi
139,139,161,185,185,41.5313,-120.021,1381.0,748529.5585758797,4602024.98680149,b'10T',0,CAM06,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM06.2010.edi
140,140,162,186,50,41.55169722222222,-118.414,1250.0,382076.0843483783,4600968.909250162,b'11T',0,NVM08,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM08.2010.edi
141,141,163,187,29,41.56970000000001,-117.54700000000001,1506.0,454394.7652534896,4602146.754719898,b'11T',0,NVM09,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.NVM09.2010.edi
142,142,164,188,63,41.60769722222222,-123.40299999999999,1049.0,466420.2549229578,4606299.208327529,b'10T',0,CAM02,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM02.2010.edi
143,143,165,189,68,41.876238888888885,-124.19000555555556,0.0,401255.04844238376,4636719.8785478715,b'10T',0,CAM01,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.CAM01.2007.edi
144,144,166,190,145,42.00369722222222,-121.0009972222222,1461.0,665546.6409990776,4652119.655019466,b'10T',0,ORL05,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.ORL05.2007.edi
145,145,167,191,42,42.01183888888889,-119.32978888888887,1798.0,307082.5626785592,4653716.55163314,b'11T',0,ORL07,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.ORL07.2006.edi
147,147,173,197,123,42.078497222222225,-120.136,1697.0,736908.1458041602,4662461.486021201,b'10T',0,ORL06,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.ORL06.2007.edi
150,150,176,200,128,42.088588888888886,-121.88294166666664,1245.0,592384.2927699547,4660215.902698972,b'10T',0,ORL04,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.ORL04.2007.edi
152,152,181,205,21,42.186886111111114,-122.60600000000001,777.0,532534.5174187953,4670601.4372612685,b'10T',0,ORL03,Transportable Array,1,../../Desktop/MT Data/Database/Earthscope/USArray.ORL03.2007.edi
